,index,0
0,Brahmin and Kshatriya,9
1,yadav and Brahmin,1
2,Brahmin and Brahmin,16
3,Brahmin and Rajput,7
4,incomplete,1
5,Brahmin and Agrawal,1
6,Rajput and Rajput,1
7,yadav and Kshatriya,1
8,Brahmin and Thakur,10
9,nuanced story,1
10,Brahmin and Kayastha,2
11,Brahmin and Jatav,2
12,Rajput and Vaishya,1
13,Brahmin and Kayastha ,1
14,Brahmin and Baniya,2
15,Thakur and Jatav,1
16,Brahmin and Dashkumar,1
17,Brahmin and Khatri,1
18,Rajput and Kayasthas,1
19,Brahmin and Kayasthas,1
20,Tantwa and Jatav,1
21,seems nonsensical ,1
22,Thakur and Brahmin,1
23,Kayastha and Kayastha,2
24,Pasi and Yadav,1
25,Shrivastava  Kayastha and Brahmin,1
26,Bhumihar Brahmin  and Kanyakubj Brahmin ,1
27,Brahmin and Vaishya,3
28,Kshatriya and Kshatriya,1
29,Yadav and Yadav,3
30,Brahman and Bhumihar,1
31,Thakur and Bhar-Bharai,1
32,Sharmas and Brahmin,1
33,Brahmin and Kashyap,1
34,Rajput and Yadav,1
35,"Rajput and Thakur (Kshatriya,Kshatriya)",1
36,Mishra (Brahmin) and Chamar,1
37,Thakur(Rajput) and Brahmin,1
38,Jatav and Brahmin,1
39,Brahmin and Kumhar,1
40,Chhipa and Teli,1
41,Gupta (Baniya) and Rajput,1
42,Kayastha and Brahmin,1
43,Sharma (Brahmin) and Kayastha,1
44,(Sharma) Brahmin and (Singh) Kshatriya,1
45,Yadav and Thakur,1
46,Rajput and Dobal,1
47,Brahmin and Nishad,1
48,(Prasad) Baniya and (Swaroop) Brahmin,1
49,Brahmin and schedule cast,1
50,Brahmin and (Gupta) Vaishya,1
51,(Shukla) Brahmin and (Pandey) Brahmin,1
52,Brahmin and Palan,1
53,upper and lower,1
